CODPROD;DESCRICAO;EMBALAGEM
4931;TROPICANAS SAND.CROSS REF.10127 33/34;1 PAR
5052;TROPICANAS SD.INF.NATUREZA R.50210 25/26;1 PAR
5053;TROPICANAS SD.INF.NATUREZA R.50210 27/28;1 PAR
4963;TROPICANAS SAND.FEM.ROSAS R.34240 33/34;1 PAR
4964;TROPICANAS SAND.FEM.ROSAS R.34240 35/36;1 PAR
4965;TROPICANAS SAND.FEM.ROSAS R.34240 37/38;1 PAR
4966;TROPICANAS SAND.FEM.ROSAS R.34240 39/40;1 PAR
4967;TROP.FEM.ROSAS R.34240 GRADE VM/VM;12X1
4968;TROPICANAS SAND.FEM.ROSAS R.34110 33/34;1 PAR
5420;TELEFONE INTELBRAS C/HEADSET;1 UN
5421;TELEFONE INTELBRAS PLENO;1 UN
5442;GLOBALBEV-BATATA PRINGLES CREME E CEBOLA;139GR
4901;TROPICANAS EXPOSITOR 10 GANCHOS;1UN
4902;TROPICANAS EXPOSITOR 16 GANCHOS;1UN
4932;TROPICANAS SAND.CROSS REF.10127 35/36;1 PAR
4933;TROPICANAS SAND.CROSS REF.10127 37/38;1 PAR
4934;TROPICANAS SAND.CROSS REF.10127 39/40;1 PAR
4935;TROPICANAS SAND.CROSS REF.10127 41/42;1 PAR
4936;TROPICANAS SAND.CROSS REF.10127 43/44;1 PAR
4937;TROPICANAS SAND.CROSS REF.10120 41/42;1 PAR
4985;TROPICANAS SAND.INF.ROSAS R.52241 25/26;1 PAR
4986;TROPICANAS SAND.INF.ROSAS R.52241 27/28;1 PAR
5004;TROPICANAS SD.FEM.NATUREZA R.30233 39/40;1 PAR
5005;TROP.FEM.NATUREZA R.30233 GRADE AM/VD;12X1
5006;TROPICANAS SD.FEM.NATUREZA R.30201 33/34;1 PAR
5007;TROPICANAS SD.FEM.NATUREZA R.30201 35/36;1 PAR
5008;TROPICANAS SD.FEM.NATUREZA R.30201 37/38;1 PAR
5009;TROPICANAS SD.FEM.NATUREZA R.30201 39/40;1 PAR
5010;TROP.FEM.NATUREZA R.30201 GRADE VD/BR;12X1
5444;GLOBALBEV-BATATA PRINGLES QUEIJO;14X139GR
5446;MAGUARY TP LIGHT NECTAR INF.LARANJA;27X200ML
4897;TROPICANAS CONFORT REF.21194 GRADE VD/PT;12X1
4903;TROPICANAS SAND.CROSS REF.10120 33/34;1 PAR
4904;TROPICANAS SAND.CROSS REF.10120 35/36;1 PAR
4905;TROPICANAS SAND.CROSS REF.10120 37/38;1 PAR
4906;TROPICANAS SAND.CROSS REF.10120 39/40;1 PAR
4907;TROPICANAS SAND.CROSS REF.10120 43/44;1 PAR
4908;TROPICANAS SAND.CROSS REF.10121 35/36;1 PAR
5054;TROPICANAS SD.INF.NATUREZA R.50210 29/30;1 PAR
5055;TROPICANAS SD.INF.NATUREZA R.50210 31/32;1 PAR
4969;TROPICANAS SAND.FEM.ROSAS R.34110 35/36;1 PAR
4970;TROPICANAS SAND.FEM.ROSAS R.34110 37/38;1 PAR
4971;TROPICANAS SAND.FEM.ROSAS R.34110 39/40;1 PAR
4972;TROP.FEM.ROSAS R.34110 GRADE BR/RS;12X1
4973;TROPICANAS SAND.FEM.ROSAS R.34144 33/34;1 PAR
4974;TROPICANAS SAND.FEM.ROSAS R.34144 35/36;1 PAR
5443;GLOBALBEV-BATATA PRINGLES ORIGINAL;140GR
4909;TROPICANAS SAND.CROSS REF.10121 37/38;1 PAR
4910;TROPICANAS SAND.CROSS REF.10121 39/40;1 PAR
4911;TROPICANAS SAND.CROSS REF.10121 41/42;1 PAR
4912;TROPICANAS SAND.CROSS REF.10121 43/44;1 PAR
4913;TROPICANAS SAND.CROSS REF.10122 33/34;1 PAR
4914;TROPICANAS SAND.CROSS REF.10122 35/36;1 PAR
4938;TROPICANAS SAND.CROSS REF.10121 33/34;1 PAR
4987;TROPICANAS SAND.INF.ROSAS R.52241 29/30;1 PAR
4988;TROPICANAS SAND.INF.ROSAS R.52241 31/32;1 PAR
5011;TROPICANAS FEM.ESTRELA REG.R.90214 33/34;1 PAR
5012;TROPICANAS FEM.ESTRELA REG.R.90214 35/36;1 PAR
5039;TROPICANAS SD.FEM.ESTRELA R.80102 39/40;1 PAR
5040;TROP.FEM.ESTRELA R.80102 GRADE BR/RS;12X1
5041;TROPICANAS SD.FEM.ESTRELA R.80142 33/34;1 PAR
5042;TROPICANAS SD.FEM.ESTRELA R.80142 35/36;1 PAR
5447;MAGUARY TP LIGHT NECTAR INF.PESSEGO;27X200ML
5448;MAGUARY TP LIGHT NECTAR INF.UVA;27X200ML
4939;TROPICANAS CROSS REF.10120 GRADE PR/PR;12X1
4940;TROPICANAS CROSS REF.10121 GRADE PR/PT;12X1
4941;TROPICANAS CROSS REF.10122 GRADE PR/VD;12X1
4942;TROPICANAS CROSS REF.10123 GRADE PR/AZ;12X1
4943;TROPICANAS CROSS REF.10126 GRADE PR/RS;12X1
4944;TROPICANAS CROSS REF.10127 GRADE PR/MF;12X1
4945;TROPICANAS EXPOSITOR P/SAND.12 GANCHOS;1UN
4946;TROPICANAS EXPOSITOR P/SAND.16 GANCHOS;1UN
5056;TROP.INF.NATUREZA R.50210 GRADE MF/MF;12X1
5057;TROPICANAS SD.INF.NATUREZA R.50110 23/24;1 PAR
5058;TROPICANAS SD.INF.NATUREZA R.50110 25/26;1 PAR
4975;TROPICANAS SAND.FEM.ROSAS R.34144 37/38;1 PAR
4976;TROPICANAS SAND.FEM.ROSAS R.34144 39/40;1 PAR
4977;TROP.FEM.ROSAS R.34144 GRADE RS/RS;12X1
4978;TROPICANAS SAND.INF.ROSAS R.52107 23/24;1 PAR
5060;TROPICANAS SD.INF.NATUREZA R.50110 29/30;1 PAR
5061;TROPICANAS SD.INF.NATUREZA R.50110 31/32;1 PAR
5062;TROP.INF.NATUREZA R.50110 GRADE BR/RS;12X1
5449;MAGUARY TP NECTAR INF.LARANJA;27X200ML
4947;FLORESTAL PIR.PIMBOLAO MELANCIA C/24;1X528GR
4948;FLORESTAL BALA BRAZILIAN COFFEE LT;10X1X40GR
4949;FINI-DISPLAY CHAO ILHA (LASA);1UN
4950;FINI-DISPLAY CESTO CARONA KLETS;1UN
4951;FINI BALA GELATINA STAND HALLOWEEN;12X270GR
4952;FINI BALA GELATINA TANGERINAS;12X90GR
4953;GLOBALBEV-EXTRA POWER ENERGETICO PET;6X1 LT
4989;TROP.INF.ROSAS R.52241 GRADE VM/BR;12X1
4990;TROPICANAS SAND.INF.ROSAS R.52200 23/24;1 PAR
4991;TROPICANAS SAND.INF.ROSAS R.52200 25/26;1 PAR
5043;TROPICANAS SD.FEM.ESTRELA R.80142 37/38;1 PAR
5044;TROPICANAS SD.FEM.ESTRELA R.80142 39/40;1 PAR
5045;TROP.FEM.ESTRELA R.80142 GRADE RS/BR;12X1
5046;TROPICANAS SD.FEM.ESTRELA R.80233 33/34;1 PAR
5047;TROPICANAS SD.FEM.ESTRELA R.80233 35/36;1 PAR
5048;TROPICANAS SD.FEM.ESTRELA R.80233 37/38;1 PAR
5049;TROPICANAS SD.FEM.ESTRELA R.80233 39/40;1 PAR
5450;MAGUARY TP NECTAR INF.MACA;27X200ML
5451;MAGUARY TP NECTAR INF.MARACUJA;27X200ML
5059;TROPICANAS SD.INF.NATUREZA R.50110 27/28;1 PAR
5064;TROPICANAS SAND.KIDS CAR R.110120 27/28;1 PAR
5065;TROPICANAS SAND.KIDS CAR R.110120 29/30;1 PAR
5066;TROPICANAS SAND.KIDS CAR R.110120 31/32;1 PAR
5067;TROPICANAS SAND.KIDS CAR R.110190 25/26;1 PAR
5068;TROPICANAS SAND.KIDS CAR R.110190 27/28;1 PAR
5063;TROPICANAS SAND.KIDS CAR R.110120 25/26;1 PAR
5069;TROPICANAS SAND.KIDS CAR R.110190 29/30;1 PAR
5070;TROPICANAS SAND.KIDS CAR R.110190 31/32;1 PAR
5071;TROPICANAS SAND.KIDS CAR R.110260 25/26;1 PAR
5072;TROPICANAS SAND.KIDS CAR R.110260 27/28;1 PAR
5073;TROPICANAS SAND.KIDS CAR R.110260 29/30;1 PAR
4992;TROPICANAS SAND.INF.ROSAS R.52200 27/28;1 PAR
4993;TROPICANAS SAND.INF.ROSAS R.52200 29/30;1 PAR
4994;TROPICANAS SAND.INF.ROSAS R.52200 31/32;1 PAR
4995;TROP.INF.ROSAS R.52200 GRADE VD/VD;12X1
4996;TROPICANAS SD.FEM.NATUREZA R.30107 33/34;1 PAR
4997;TROPICANAS SD.FEM.NATUREZA R.30107 35/36;1 PAR
5440;GLOBALBEV-EXTRA POWER ENERGETICO PET;6X1,250 ML
4896;MAGUARY-AGUA DE COCO PURO COCO TP;27X200ML
4898;ARAGUAIA-MAC.INSTANTANEO GALINHA;50X63GR
4899;ARAGUAIA-MAC.INSTANTANEO GALINHA CAIPIRA;50X63GR
4900;ARAGUAIA-MAC.INSTANTANEO CARNE;50X63GR
4915;TROPICANAS SAND.CROSS REF.10122 37/38;1 PAR
4916;TROPICANAS SAND.CROSS REF.10122 39/40;1 PAR
4917;TROPICANAS SAND.CROSS REF.10122 41/42;1 PAR
5050;TROP.FEM.ESTRELA R.80233 GRADE AM/VD;12X1
5051;TROPICANAS SD.INF.NATUREZA R.50210 23/24;1 PAR
5074;TROPICANAS SAND.KIDS CAR R.110260 31/32;1 PAR
5075;TROPICANAS KIDS CAR R.110120 GRADE PT;12X1
5076;TROPICANAS KIDS CAR R.110190 GRADE VD.A;12X1
5077;TROPICANAS KIDS CAR R.110260 GRADE LJ;12X1
5080;DAFRUTA INF.BARBIE FRUTAS CITRICAS;27X200ML
5081;DAFRUTA INF.BARBIE ABACAXI;27X200ML
5082;DAFRUTA INF.HOT WHEELS  ABACAXI;27X200ML
4918;TROPICANAS SAND.CROSS REF.10122 43/44;1 PAR
4919;TROPICANAS SAND.CROSS REF.10123 33/34;1 PAR
4920;TROPICANAS SAND.CROSS REF.10123 35/36;1 PAR
4921;TROPICANAS SAND.CROSS REF.10123 37/38;1 PAR
4922;TROPICANAS SAND.CROSS REF.10123 39/40;1 PAR
4923;TROPICANAS SAND.CROSS REF.10123 41/42;1 PAR
4924;TROPICANAS SAND.CROSS REF.10123 43/44;1 PAR
5078;DAFRUTA INF.BARBIE MORANGO;27X200ML
5079;DAFRUTA INF.BARBIE UVA;27X200ML
4954;V.FERTIL-PEPINO INTEIRO EM CONSERVA VD;12X360GR
4955;V.FERTIL-AZEITONA PRETA PREMIUM AZAPA VD;24X200GR
4956;V.FERTIL-AZEITE OLIVA ARG.EXT.VIRGEM;24X250ML
4957;CAPRICHO-FRALDA GARFIELD BABY MEGA P ;PCT 56X1
4958;CAPRICHO-FRALDA GARFIELD BABY MEGA M;PCT 50X1
4959;CAPRICHO-FRALDA GARFIELD BABY MEGA G;PCT 46X1
4960;CAPRICHO-FRALDA GARFIELD BABY MEGA EG;PCT 40X1
5038;TROPICANAS SD.FEM.ESTRELA R.80102 37/38;1 PAR
5560;FINI BALA GELATINA LOONEY TUNES;12X90GR
5405;CAPRICHO-FRALDA REI LEAO HIPER XXG ;PCT 40X1
5480;MAGUARY SUCO SEG. BRASIL CUPUACU;12X500ML
5481;MAGUARY SUCO SEG. BRASIL PITANGA;12X500ML
5487;TOSCANO-TEMPERO P/FEIJAO EM PO;48X50GR
5488;TOSCANO-TEMPERO P/AVES EM PO;48X50GR
5414;FINI CHICLE KLETS HORTELA;8X45GR
5415;FINI CHICLE KLETS MORANGO;8X45GR
5416;FINI CHICLE KLETS MENTA;8X45GR
5462;DAFRUTA REFRESH NECTAR GOIABA;12X1LT
5463;DAFRUTA REFRESH NECTAR LARANJA;12X1LT
5532;GLOBALBEV-BATATA PRINGLES ORIGINAL;14X140GR
5423;MULTID-TEQUILA MULT.PLATA C/COQUETELEIRA;1X700ML
5024;TROPICANAS FEM.ESTRELA REG.R.90103 39/40;1 PAR
5025;TROP.FEM.ESTRELA REG.R.90103 GRADE BR/PT;12X1
5026;TROPICANAS FEM.ESTRELA REG.R.90233 33/34;1 PAR
5027;TROPICANAS FEM.ESTRELA REG.R.90233 35/36;1 PAR
5028;TROPICANAS FEM.ESTRELA REG.R.90233 37/38;1 PAR
5029;TROPICANAS FEM.ESTRELA REG.R.90233 39/40;1 PAR
5030;TROP.FEM.ESTRELA REG.R.90233 GRADE AM/VD;12X1
9091;ROMA-PANETTONE TRUFADO COB. PREMIUM 700G;1X700GR
9119;FLORESTAL GOMA SUPLEMENTO LARANJA VIT C ;1X75GR
5485;TOSCANO-TEMPERO P/SALADA EM PO;48X50GR
5486;TOSCANO-TEMPERO P/LEGUMES EM PO;48X50GR
5464;DAFRUTA REFRESH NECTAR MANGA;12X1LT
5465;DAFRUTA REFRESH NECTAR UVA;12X1LT
5466;DAFRUTA REFRESH NECTAR MEXERICA;12X1LT
5467;DAFRUTA REFRESH NECTAR LIMAO;12X1LT
5031;TROPICANAS SD.FEM.ESTRELA R.80210 33/34;1 PAR
5032;TROPICANAS SD.FEM.ESTRELA R.80210 35/36;1 PAR
5033;TROPICANAS SD.FEM.ESTRELA R.80210 37/38;1 PAR
5034;TROPICANAS SD.FEM.ESTRELA R.80210 39/40;1 PAR
5035;TROP.FEM.ESTRELA R.80210 GRADE MF/MF;12X1
5036;TROPICANAS SD.FEM.ESTRELA R.80102 33/34;1 PAR
5037;TROPICANAS SD.FEM.ESTRELA R.80102 35/36;1 PAR
5424;MULTIDRINK WHISKY OLD EXCELLER GOLD;6X1LT
5425;MULTIDRINK VODKA PREMIUM DRINK ACAI;6X1LT
5431;MULTIDRINK CONHAQUE GOLD;6X900ML
5432;MULTIDRINK CONHAQUE BLACK;6X900ML
5433;MULTIDRINK CATUABA PIRATINHA;6X900ML
5434;MULTIDRINK JURUBEBA DO LEAO;6X900ML
5013;TROPICANAS FEM.ESTRELA REG.R.90214 37/38;1 PAR
5014;TROPICANAS FEM.ESTRELA REG.R.90214 39/40;1 PAR
5015;TROP.FEM.ESTRELA REG.R.90214 GRADE MF/AZ;12X1
5016;TROPICANAS FEM.ESTRELA REG.R.90144 33/34;1 PAR
5017;TROPICANAS FEM.ESTRELA REG.R.90144 35/36;1 PAR
9120;FLORESTAL GOMA SUPLEMENTO MOR.KIDS VIT C;1X75GR
5018;TROPICANAS FEM.ESTRELA REG.R.90144 37/38;1 PAR
5019;TROPICANAS FEM.ESTRELA REG.R.90144 39/40;1 PAR
5489;TOSCANO-CREME DE CEBOLA;24X70GR
5417;FINI CHICLE KLETS EXTRA FORTE;8X45GR
5418;FINI CHICLE KLETS MELANCIA;8X45GR
5419;FINI BALA GELATINA AVIOES;12X90GR
5435;MULTIDRINK RAIZ AMARGA;6X900ML
5436;MULTIDRINK LICOR AMARULA MULTIRULA;6X900ML
5437;MULTIDRINK MINARI C/COPO;6X1LT
5438;TOSCANO-ACETO BALSAMICO DI MODENA;12X500ML
5439;TOSCANO-AZEITE DE OLIVA PORTUGUES VD;12X500ML
5452;MAGUARY TP NECTAR INF.PESSEGO;27X200ML
5468;GINA ESPETO P/CHURRASCO MADEIRA R.1502;50X100X1
5470;MAGUARY TP VITAKIDS PRINCESAS MARACUJA;27X200ML
5471;MAGUARY TP VITAKIDS PRINCESAS PESSEGO;27X200ML
5472;MAGUARY TP VITAKIDS PRINCESAS UVA;27X200ML
5473;MAGUARY TP VITAKIDS PRINCESAS MORANGO;27X200ML
5474;MAGUARY TP VITAKIDS CARROS LARANJA;27X200ML
5426;MULTIDRINK VODKA PREMIUM DRINK MARACUJA;6X1LT
5427;MULTIDRINK VODKA PREMIUM DRINK APPLE;6X1LT
5428;MULTIDRINK VODKA PREMIUM DRINK RED FRUIT;6X1LT
5429;MULTID-KIT RAIZOV ORIG.+FUZZY +BATIDA;950 ML
5430;MULTID-KIT WHISKY OLD EXCELLER + FUZZY;1LT
5453;MAGUARY TP NECTAR INF.TANGERINA;27X200ML
9121;FLORESTAL PIR.FLOPI KIDS 6 VITAM.MORANGO;1X50GR
5454;MAGUARY TP NECTAR INF.UVA;27X200ML
5455;MONT- DOCE DE LEITE CHUP CHUP R.7139;50X30GR
5456;MONT- FONDANT DE LEITE POTE REF.7109;50X10GR
5457;VITTAMAX-FRESH CACHORRO FILHOTE;12X280GR
5475;MAGUARY TP VITAKIDS CARROS MARACUJA;27X200ML
5476;MAGUARY TP VITAKIDS CARROS PESSEGO;27X200ML
5477;MAGUARY TP VITAKIDS CARROS UVA;27X200ML
5458;VITTAMAX-FRESH CAES MEDIAS GDES RACAS;12X280GR
5459;VITTAMAX-FRESH CAES PEQUENAS RACAS;12X280GR
5460;VITTAMAX-FRESH GATOS;12X280GR
5461;VITTAMAX-FRESH CAES ADULTOS;12X280GR
4961;FINI BALA GELATINA MINHOCAS BRILHO;12X500GR
4962;FINI TUBINHO NATAL;12X80GR
5020;TROP.FEM.ESTRELA REG.R.90144 GRADE RS/RS;12X1
5021;TROPICANAS FEM.ESTRELA REG.R.90103 33/34;1 PAR
5022;TROPICANAS FEM.ESTRELA REG.R.90103 35/36;1 PAR
5023;TROPICANAS FEM.ESTRELA REG.R.90103 37/38;1 PAR
5478;MAGUARY TP VITAKIDS CARROS MORANGO;27X200ML
5112;GLOBALBEV-EXTRA POWER ENERGETICO PET;6X2 LT
5113;GLOBALBEV-EXTRA POWER ENERGETICO BIG LTA;4X473 ML
5114;GLOBALBEV-EXTRA POWER ENERGETICO LTA;4X270 ML
5145;CADERNO 48 FOLHAS;UN
5146;FORMULARIO CONTINUO 2 VIA;CX
5155;MONT-BOMBOM C/CEREJAS PICADAS S/ALCOOL;12X100GR
5156;MONT-TUB-IN C/RECHEIO DE MORANGO;24X54GR
5531;DAFRUTA REFRESH LTA NECTAR LIMAO;12X335ML
5148;CADERNO 10 MATERIAS;1 UN
5179;MAGUARY LIGHT NECTAR CAJU;12X1LT
5180;MAGUARY LIGHT NECTAR GOIABA;12X1LT
5181;MAGUARY LIGHT NECTAR LARANJA;12X1LT
5182;MAGUARY LIGHT NECTAR MANGA;12X1LT
5183;MAGUARY LIGHT NECTAR MARACUJA;12X1LT
5184;MAGUARY LIGHT NECTAR PESSEGO;12X1LT
5091;TOSCANO-KETCHUP FR;12X400GR
5122;GLOBALBEV-AMAZOO KIDS ACAI C/BANANA TP;27X200 ML
5157;MONT-TUB-IN C/RECHEIO DE BEIJINHO;24X54GR
5160;MAGUARY SUCO CONC.CAJU PET;12X500ML
5161;MAGUARY SUCO CONC.GOIABA PET;12X500ML
5162;MAGUARY SUCO CONC.LARANJA PET;12X500ML
5163;MAGUARY SUCO CONC.MANGA PET;12X500ML
5127;PEN DRIVE 4 GB;UN
5128;ESTILETE;UN
5129;CADERNO PROTOCOLO;UN
9083;ROMA-PANETTONE FRUTAS 500G;1X500GR
5130;REGUA;UN
5131;VALE S/ CANHOTO 50X1;UN
5132;PRANCHA;UN
5134;FINI-DISPLAY BALCAO KLETS 9 FRENTES;1UN
5098;V.FERTIL-AZ.VDE PREMIUM M.REINA VD;12X300GR
5099;V.FERTIL-AZEITONA PRETA PREMIUM AZAPA VD;12X500GR
5101;TOSCANO-MOSTARDA FR;12X180GR
5164;MAGUARY SUCO CONC.MARACUJA PET;12X500ML
5165;MAGUARY SUCO CONC.PESSEGO PET;12X500ML
5203;GLOBALBEV-BATATA PRINGLES ORIGINAL;40GR
5135;FINI-DISPLAY CHECK OUT KLETS 3 FRENTES;1UN
5136;FINI-DISPLAY PAPA F.KLETS 3 FRENTES LASA;1UN
5147;IMPRESSORA MULTIFUNC.HP M113;1 UN
5158;MONT-BISC.CHAMPANHE REF.4205;24X180GR
5185;MAGUARY LIGHT NECTAR UVA;12X1LT
5186;MAGUARY TP NECTAR INF.LARANJA;15X200ML
5198;PILHA ALCALINA AAA;UN
5204;TOSCANO-MOLHO P/SALADA LIMAO FR;12X240ML
5205;TOSCANO-MOLHO P/SALADA CASEIRO FR;12X240ML
5108;PAN-NOBREAK BALLS PATATI PATATA;24X60GR
5109;PAN-PIPOCA PATATI PATATA;24X40GR
5124;DVD SONY SR320 MP3/CD/JPEG/CR;1UN
5125;BAT.3VEL MONDIAL ULTRA BLACK B11 PR 220V;1UN
5126;"TV 32""HBUSTER LCD HBTV32D05 HD/DTV/USB";1UN
5142;CAIXA ARQUIVO MORTO;CX
5143;CADERNO DE PONTO;UN
5115;GLOBALBEV-AMAZOO TP ACAI C/BANANA;1 LT
5116;GLOBALBEV-AMAZOO TP ACAI C/MORANGO;1 LT
5117;GLOBALBEV-AMAZOO TP ACAI C/GUARANA TRAD.;1 LT
5118;GLOBALBEV-AMAZOO ACAI C/BANANA TP;12X250 ML
5119;GLOBALBEV-AMAZOO ACAI C/MORANGO TP;12X250 ML
5120;GLOBALBEV-AMAZOO LTA ACAI C/GUARANA TRAD;6X250 ML
5207;TONER 85A;UN
5154;GLOBALBEV-AMAZOO ACAI C/GUARANA TRAD. TP;12X250 ML
5196;B.VISTA-BISC.RECHEADOS MORANGO;40X130GR
5197;B.VISTA-BISC.RECHEADOS CHOCOLATE ;40X130GR
5208;TOSCANO-VINAGRE DE VINHO BRANCO;12X750ML
5209;B.VISTA-BISC.PAO DE MEL;40X70GR
5210;CANETA AZUL;UN
5211;EXTRATOR DE GRAMPO;UN
5133;DAFRUTA SUCO CONC UVA PET;6X1LT
5212;FOLHA CARBONO;UN
5213;B.VISTA-BISC.CRACKER GERGELIM;40X200GR
5214;GLOBALBEV-EXTRA POWER ENERGETICO LTA ;6X710 ML
5215;GLOBALBEV-AMAZOO ACAI C/BANANA TP;12X750 ML
5216;GLOBALBEV-AMAZOO ACAI C/MORANGO TP;12X750 ML
5217;GLOBALBEV-AMAZOO ACAI C/GUARANA TRAD. TP;12X750 ML
5083;DAFRUTA INF.HOT WHEELS FRUTAS CITRICAS;27X200ML
5084;DAFRUTA INF.HOT WHEELS MORANGO;27X200ML
5085;DAFRUTA INF.HOT WHEELS UVA;27X200ML
9084;ROMA-PANETTONE GOTAS CHOCOLATE 500G;1X500GR
5096;TOSCANO-VINAGRE DE ALCOOL COLORIDO;12X500ML
5097;TOSCANO-VINAGRE DE ALCOOL COLORIDO;12X750ML
5219;CAPRICHO-FRALDA ENXUTITA REG P;16X10UN
5220;CAPRICHO-FRALDA ENXUTITA REG M;16X8UN
5422;MULTID-TEQUILA MULT.ORO C/COQUETELEIRA;1X700ML
5206;TOSCANO-MOLHO P/SALADA BALSAMICO FR;12X250ML
5218;CAPRICHO-FRALDA MATURI CARE REG EG ;PCT 7X1
5221;CAPRICHO-FRALDA ENXUTITA REG G;16X7UN
5222;CAPRICHO-FRALDA ENXUTITA REG EG;16X7UN
5223;CAPRICHO-FRALDA ENXUTITA PRAT P;8X30UN
5224;CAPRICHO-FRALDA ENXUTITA PRAT M;8X24UN
5225;CAPRICHO-FRALDA ENXUTITA PRAT G;8X20UN
5226;CAPRICHO-FRALDA ENXUTITA PRAT EG;8X16UN
5123;GLOBALBEV-AMAZOO KIDS ACAI C/MORANGO TP;27X200 ML
5166;MAGUARY SUCO CONC.UVA PET;12X500ML
5167;MAGUARY NECTAR CAJU ;12X1LT
5168;MAGUARY NECTAR GOIABA;12X1LT
5169;MAGUARY NECTAR LARANJA;12X1LT
5170;MAGUARY NECTAR MANGA;12X1LT
5171;MAGUARY NECTAR MARACUJA;12X1LT
5087;FLORESTAL BALA ITS TIME HORTELA C/16;16X1X32GR
5088;FLORESTAL BALA ITS TIME MARACUJA C/16;16X1X32GR
5089;FLORESTAL BALA ITS TIME MORANGO C/16;16X1X32GR
5090;FLORESTAL BALA ITS TIME FRAMBOESA C/16;16X1X32GR
9085;ROMA-PANETTONE FRUTAS 1KG;1X1KG
5159;MAGUARY SUCO CONC.ABACAXI PET;12X500ML
5187;MAGUARY TP NECTAR INF.MARACUJA;15X200ML
5188;MAGUARY TP NECTAR INF.PESSEGO;15X200ML
5482;MAGUARY SUCO SEG. BRASIL GRAVIOLA;12X500ML
5172;MAGUARY NECTAR UVA;12X1LT
5173;MAGUARY NECTAR TANGERINA;12X1LT
5174;MAGUARY NECTAR MACA;12X1LT
5175;MAGUARY SUPER FRUTA TOMATE;12X1LT
5176;MAGUARY SUPER FRUTA  CRANBERRY;12X1LT
5177;MAGUARY SUPER FRUTA  FRAMBOESA;12X1LT
5178;MAGUARY SUPER FRUTA  ACAI E BANANA;12X1LT
5149;MONTEIRO-PALHA ITALIANA TRADICIONAL;22X50 GR
5150;MONTEIRO-PALHA ITALIANA LIGHT;22X50 GR
5151;MONTEIRO-PALHA ITALIANA TRADICIONAL;6X50 GR
5152;MONTEIRO-PALHA ITALIANA LIGHT;6X50 GR
5189;MAGUARY TP NECTAR INF.UVA;15X200ML
5190;MAGUARY TP NECTAR INF.TANGERINA;15X200ML
5191;MAGUARY TP LIGHT NECTAR INF.LARANJA;15X200ML
5479;MAGUARY SUCO SEG. BRASIL ACEROLA;12X500ML
5484;TOSCANO-TEMPERO P/CARNE EM PO;48X50GR
5092;FLORESTAL BONECO PATATI PATATA;1 UN
5093;FLORESTAL BARRACA IGLU PATATI PATATA;1 UN
5094;FLORESTAL MOCHILA PATATI PATATA;1 UN
5095;FLORESTAL BICICLETA PATATI PATATA;1
5100;FLORESTAL LAMINA DE PRODUTOS;1UN
5102;PAN-MOEDAS DE CHOC.PATATI PATATA 830GR;830GR
5103;PAN-MOEDAS DE CHOCOLATE PATATI PATATA SM;20X40GR
5086;FLORESTAL BALA ITS TIME MACA VERDE C/16;16X1X32GR
5137;TROPICANAS SD.FEM.NATUREZA R.30142 33/34;1 PAR
5138;TROPICANAS SD.FEM.NATUREZA R.30142 35/36;1 PAR
5139;TROPICANAS SD.FEM.NATUREZA R.30142 37/38;1 PAR
5140;TROPICANAS SD.FEM.NATUREZA R.30142 39/40;1 PAR
5141;TROP.FEM.NATUREZA R.30142 GRADE RS/BR;12X1
5192;MAGUARY TP LIGHT NECTAR INF.PESSEGO;15X200ML
5483;MAGUARY SUCO SEG. BRASIL TAMARINDO;12X500ML
5104;PAN-CHOCOLAPIS CHOC.LEITE P.PATATA SM;CX 20X2
5105;PAN-CHOCOLAPIS CHOC.DISP.LEITE P.PATATA ;20X6X16GR
5106;PAN-PAO DE MEL COB.CHOC.PATATI PATATA;20X200GR
5107;PAN-PAO DE MEL COB.CHOC PATATI PATATA;24X100GR
5110;PAN-CREME DE AMENDOIM;12X200GR
5121;GLOBALBEV-AMAZOO KIDS ACAI C/GUA.TRAD.TP;27X200 ML
5153;REFRESQUEIRA BBS INOX 220 IBBL;1UN
5193;MAGUARY TP LIGHT NECTAR INF.UVA;15X200ML
5194;MAGUARY TP NECTAR INF.MACA;15X200ML
5195;CHECK STANDER MODELO ESPECIAL;1UN
5199;B.VISTA-BISC.RECHEADOS CHOC.BRANCO;40X130GR
5200;B.VISTA-BISC.RECHEADOS BANANA;40X130GR
5201;GLOBALBEV-BATATA PRINGLES CREME E CEBOLA;40GR
5202;GLOBALBEV-BATATA PRINGLES QUEIJO;40GR
9086;ROMA-PANETTONE GOTAS CHOCOLATE 1KG;1X1KG
5265;MOLHA DEDO;UN
5317;CPU CCE;1UN
5324;M-LINE RACAO CAES ADULTOS;10,1KG
5325;M-LINE RACAO CAES ADULTOS;20KG
5315;SACO PARA LIXO 60LT´S;PCT
5326;M-LINE RACAO CAES FILHOTES;10X1KG
5327;M-LINE RACAO CAES FILHOTES;6X2,5KG
5235;FLORESTAL DROPS IMINT EUCALIPTO;12X35GR
5236;FLORESTAL DROPS IMINT FRAMBOESA;12X35GR
5237;FLORESTAL DROPS IMINT EXTRA FORTE;12X35GR
5250;RODO 60CM;UN
5251;VASSOURA DE PALHA;UN
5239;FLORESTAL DROPS IMINT MENTA;12X35GR
5240;FLORESTAL DROPS IMINT CEREJA;12X35GR
5241;FLORESTAL DROPS IMINT MELANCIA;12X35GR
